alternative_names,frequency_female,frequency_male,name
GALIANA|GELIANA|GILIANA|GIOLIANA|GIULIANA|GIULIANNA|GIULYANA|GUILIANA|GUIULIANA|GULIANA|JALIANA|JELIANA|JHULIANA|JHULYANA|JILIANA|JIULIANA|JIULIANNA|JLIANA|JOELIANA|JOLIANA|JUALIANA|JUILIANA|JULHIANA|JULIANNA|JULIIANA|JULYANA|JULYANNA,562589,2117,JULIANA
GELIO|GEULIO|GILIO|GIULIO|GUILIO|GULIO|JAELIO|JALIO|JELIO|JHULIO|JILIO|JIULIO|JLIO|JOELHIO|JOELIO|JOLIO|JUILIO|JULHIO|JULIIO|JULIOR,1776,334254,JULIO
GALIANA|GELIANA|GILIANA|GIOLIANA|GIULIANA|GIULIANNA|GIULYANA|GUILIANA|GUIULIANA|GULIANA|JALIANA|JELIANA|JHULIANA|JHULYANA|JILIANA|JIULIANA|JIULIANNA|JLIANA|JOELIANA|JOLIANA|JUALIANA|JUILIANA|JULHIANA|JULIANA|JULIANNA|JULIIANA|JULYANA,172,,JULYANNA
CALILI|CALLY|CELLI|CELLY|CIELLY|CILLY|CLEILI|CLELI|KAELLI|KAELLY|KAILLY|KALILI|KALLEY|KALLI|KALLY|KAUELLY|KAULLY|KEILLI|KEILLY|KELLEI|KELLEY|KELLI|KELLIY|KEULLI|KEULLY|KEYLLY|KHELLY|KILLY|KLLY|KUELLY,95114,439,KELLY
ALEANDRA|ALEHANDRA|ELEANDRA|HELEANDRA|ILEANDRA|OLEANDRA,34146,318,LEANDRA
ALETICIA|ELETICIA|HELETICIA|LETEICIA|LETHICIA|LETHICYA|LETHYCIA|LETICIIA|LETICYA|LETIICIA|LETYCIA,434056,1572,LETICIA
ALINDOMAR|ELINDOMAR|LINDOMA|OLINDOMAR,4573,39891,LINDOMAR
ALUCIANO|ELUCIANO|LUCIANNO|LUCYANO,2278,335214,LUCIANO
MARCALO|MARCELHO|MARCIELO|MARCILHO|MARCILO|MARCLO|MARRCELO,3117,690098,MARCELO
HMARIA|MAARIA|MARAI|MARAIR|MARAY|MARHIA|MARIAA|MARIAH|MARIAR|MARIHA|MARIIA|MARRIA|MARYA|MARYAH|MMARIA,11694738,39391,MARIA
MARAINA|MARIAANA|MARIANNA|MARYANA|MARYANNA,381778,1609,MARIANA
MASSIMILIANO,20,5052,MAXIMILIANO
MIGAEL|MIGEL|MIGEUL|MIGHEL|MIGIEL|MIGUEIL|MIGUIEL|MIGUIL|MIGUL|MIJAEL|MUIGUEL|MYGUEL,1244,239636,MIGUEL
NATAILIA|NATALHIA|NATALYA|NATELIA|NATHALHIA|NATHALIA|NATHALYA|NATHILIA|NATHLIA|NATILIA|NATLIA|NHATALIA,334157,1169,NATALIA
,,37,NISSIM
ALAVO|HOLAVO,45,19359,OLAVO
HOTAVIO|OTHAVIO,579,99962,OTAVIO
PAILO|PALO|PAOLO|PAOULO|PAUULO|PAYLO|POLO|POULO|PUALO|PULO,5355,1417907,PAULO
QUENYA,2872,,QUENIA
,46,13457,RAMIRO
RENAM|RENANN|RENNAM|RENNAN|RHENAN|RHENNAN,1411,170182,RENAN
RENATHA|RENNATA,345195,1806,RENATA
RENATHO|RENNATO,1925,327610,RENATO
RHODOLFO|RODHOLFO|RODILFO|RODLFO|RODOLFHO|RODOLPHO,226,56090,RODOLFO
RHODRIGO|ROBRIGO|RODRIGUO|RODRIIGO|RODRRIGO|RODRYGO|RRODRIGO,2825,598825,RODRIGO
SAARA|SAARAH|SAHARA|SAHRA|SARAA|SARAH|SARAR|SARHA|SARRA|ZAHARA|ZAHRA|ZAHRAA|ZARA|ZARAH,233349,937,SARA
SOFFIA|SOFHIA|SOFPHIA|SOFYA|SOPHIA|SOPHYA|ZOFIA,74612,276,SOFIA
SONAI|SONAIR|SONHIA|SONIIA|SONNIA|SONYA|ZONIA,354487,732,SONIA
SAELEN|SALEM|SALEN|SELEM|SELEN|SEULEN|SIELEM|SIELEN|SILEM|SILEN|SOELEM|SOELEN|SOLEN|SUEELEN|SUELEM|SUELENN|SUHELEN|SUIELEN|SUILEN|SULEM|SULEN,78501,323,SUELEN
TAHISA|TAIZA|TAYSA|TAYZA|THAISA|THAIZA|THAYSA|THAYZA,25740,99,TAISA
TAELI|TAILI|TAILY|TALY|TELI|TELY|THAILY|THALI|THALY|THELY|THIALI|THIALY|THIELI|THIELY|THYELI|TIALI|TIALY|TIELI|TIELY|TILI|TUELI|TULI|TYELI,153,49,TALI
TANAI|TANNIA|TANYA|THANIA|THANYA,172242,366,TANIA
THONI|THONNY|THONY|TONI|TONNI|TONNY,65,7204,TONY
EULISSES|HULISSES|OLISSES|UILISSES|ULYSSES,106,19497,ULISSES
